time,price,year,month,date
1970-01-01,1.13074,1970,1,1970-01-01
1970-02-11,1.12335,1970,2,1970-02-11
1970-03-24,1.12495,1970,3,1970-03-24
1970-05-04,1.14521,1970,5,1970-05-04
1970-06-12,1.15582,1970,6,1970-06-12
1970-07-23,1.13942,1970,7,1970-07-23
1970-09-02,1.13749,1970,9,1970-09-02
1970-10-13,1.16354,1970,10,1970-10-13
1970-11-23,1.2063,1970,11,1970-11-23
1971-01-01,1.20372,1971,1,1971-01-01
1971-02-11,1.21755,1971,2,1971-02-11
1971-03-24,1.24552,1971,3,1971-03-24
1971-05-04,1.2542,1971,5,1971-05-04
1971-06-14,1.30275,1971,6,1971-06-14
1971-07-23,1.28924,1971,7,1971-07-23
1971-09-02,1.3738,1971,9,1971-09-02
1971-10-13,1.35097,1971,10,1971-10-13
1971-11-23,1.36641,1971,11,1971-11-23
1972-01-03,1.39791,1972,1,1972-01-03
1972-02-11,1.4709,1972,2,1972-02-11
1972-03-23,1.55159,1972,3,1972-03-23
1972-05-03,1.57635,1972,5,1972-05-03
1972-06-13,1.75607,1972,6,1972-06-13
1972-07-24,1.99624,1972,7,1972-07-24
1972-09-01,2.15506,1972,9,1972-09-01
1972-10-12,2.10491,1972,10,1972-10-12
1972-11-22,2.0853,1972,11,1972-11-22
1973-01-02,2.05475,1973,1,1973-01-02
1973-02-12,2.0943,1973,2,1973-02-12
1973-03-23,2.38559,1973,3,1973-03-23
1973-05-03,2.90964,1973,5,1973-05-03
1973-06-13,3.27809,1973,6,1973-06-13
1973-07-24,3.86195,1973,7,1973-07-24
1973-09-03,3.43241,1973,9,1973-09-03
1973-10-12,3.31056,1973,10,1973-10-12
1973-11-22,3.21765,1973,11,1973-11-22
1974-01-02,3.43113,1974,1,1974-01-02
1974-02-12,4.15355,1974,2,1974-02-12
1974-03-25,4.83001,1974,3,1974-03-25
1974-05-03,5.53764,1974,5,1974-05-03
1974-06-13,5.24925,1974,6,1974-06-13
1974-07-24,4.95443,1974,7,1974-07-24
1974-09-03,4.97179,1974,9,1974-09-03
1974-10-14,4.87952,1974,10,1974-10-14
1974-11-22,5.1049,1974,11,1974-11-22
1975-01-02,5.62638,1975,1,1975-01-02
1975-02-12,5.62317,1975,2,1975-02-12
1975-03-25,5.68264,1975,3,1975-03-25
1975-05-05,5.25665,1975,5,1975-05-05
1975-06-13,5.29041,1975,6,1975-06-13
1975-07-24,5.30005,1975,7,1975-07-24
1975-09-03,4.83387,1975,9,1975-09-03
1975-10-14,4.51718,1975,10,1975-10-14
1975-11-24,4.5204,1975,11,1975-11-24
1976-01-02,4.51236,1976,1,1976-01-02
1976-02-12,4.23747,1976,2,1976-02-12
1976-03-24,4.29534,1976,3,1976-03-24
1976-05-04,4.10726,1976,5,1976-05-04
1976-06-14,4.04456,1976,6,1976-06-14
1976-07-23,3.56873,1976,7,1976-07-23
1976-09-02,3.41119,1976,9,1976-09-02
1976-10-13,3.68608,1976,10,1976-10-13
1976-11-23,4.29052,1976,11,1976-11-23
1977-01-03,4.32428,1977,1,1977-01-03
1977-02-11,4.34035,1977,2,1977-02-11
1977-03-24,4.91103,1977,3,1977-03-24
1977-05-04,4.76153,1977,5,1977-05-04
1977-06-14,4.40787,1977,6,1977-06-14
1977-07-25,4.70687,1977,7,1977-07-25
1977-09-02,4.70687,1977,9,1977-09-02
1977-10-13,5.07821,1977,10,1977-10-13
1977-11-23,5.12161,1977,11,1977-11-23
1978-01-03,5.43991,1978,1,1978-01-03
1978-02-13,5.69068,1978,2,1978-02-13
1978-03-24,5.76463,1978,3,1978-03-24
1978-05-04,5.57172,1978,5,1978-05-04
1978-06-14,5.90609,1978,6,1978-06-14
1978-07-25,6.21474,1978,7,1978-07-25
1978-09-04,6.79988,1978,9,1978-09-04
1978-10-13,7.21784,1978,10,1978-10-13
1978-11-23,6.51053,1978,11,1978-11-23
1979-01-03,7.02815,1979,1,1979-01-03
1979-02-13,7.73547,1979,2,1979-02-13
1979-03-26,7.88497,1979,3,1979-03-26
1979-05-04,7.98785,1979,5,1979-05-04
1979-06-14,8.97006,1979,6,1979-06-14
1979-07-25,9.75293,1979,7,1979-07-25
1979-09-04,10.449,1979,9,1979-09-04
1979-10-15,12.9535,1979,10,1979-10-15
1979-11-23,12.6031,1979,11,1979-11-23
1980-01-03,20.3836,1980,1,1980-01-03
1980-02-13,22.401,1980,2,1980-02-13
1980-03-25,17.5945,1980,3,1980-03-25
1980-05-05,16.4773,1980,5,1980-05-05
1980-06-13,19.5605,1980,6,1980-06-13
1980-07-24,20.6729,1980,7,1980-07-24
1980-09-03,20.472,1980,9,1980-09-03
1980-10-14,21.4928,1980,10,1980-10-14
1980-11-24,20.2871,1980,11,1980-11-24
1981-01-02,18.9609,1981,1,1981-01-02
1981-02-12,15.7619,1981,2,1981-02-12
1981-03-25,16.9756,1981,3,1981-03-25
1981-05-05,15.3118,1981,5,1981-05-05
1981-06-15,15.151,1981,6,1981-06-15
1981-07-24,13.1014,1981,7,1981-07-24
1981-09-03,14.0338,1981,9,1981-09-03
1981-10-14,14.283,1981,10,1981-10-14
1981-11-24,12.8362,1981,11,1981-11-24
1982-01-04,12.6995,1982,1,1982-01-04
1982-02-12,12.1369,1982,2,1982-02-12
1982-03-25,10.5374,1982,3,1982-03-25
1982-05-05,10.8798,1982,5,1982-05-05
1982-06-15,10.1275,1982,6,1982-06-15
1982-07-26,11.3251,1982,7,1982-07-26
1982-09-03,14.6286,1982,9,1982-09-03
1982-10-14,14.4035,1982,10,1982-10-14
1982-11-24,13.1577,1982,11,1982-11-24
1983-01-04,14.4518,1983,1,1983-01-04
1983-02-14,16.0914,1983,2,1983-02-14
1983-03-25,13.2381,1983,3,1983-03-25
1983-05-05,13.9454,1983,5,1983-05-05
1983-06-15,13.1255,1983,6,1983-06-15
1983-07-26,13.6801,1983,7,1983-07-26
1983-09-05,13.4744,1983,9,1983-09-05
1983-10-14,12.8201,1983,10,1983-10-14
1983-11-24,12.0726,1983,11,1983-11-24
1984-01-04,12.0244,1984,1,1984-01-04
1984-02-14,12.0887,1984,2,1984-02-14
1984-03-26,12.4552,1984,3,1984-03-26
1984-05-04,12.1112,1984,5,1984-05-04
1984-06-14,12.0758,1984,6,1984-06-14
1984-07-25,10.9875,1984,7,1984-07-25
1984-09-04,10.9698,1984,9,1984-09-04
1984-10-15,10.8878,1984,10,1984-10-15
1984-11-23,10.9795,1984,11,1984-11-23
1985-01-03,9.71917,1985,1,1985-01-03
1985-02-13,9.7256,1985,2,1985-02-13
1985-03-26,10.4088,1985,3,1985-03-26
1985-05-06,10.0551,1985,5,1985-05-06
1985-06-14,10.232,1985,6,1985-06-14
1985-07-25,10.2046,1985,7,1985-07-25
1985-09-04,10.4811,1985,9,1985-09-04
1985-10-15,10.5133,1985,10,1985-10-15
1985-11-25,10.6162,1985,11,1985-11-25
1986-01-03,10.5053,1986,1,1986-01-03
1986-02-13,10.7383,1986,2,1986-02-13
1986-03-26,11.0695,1986,3,1986-03-26
1986-05-06,11.0727,1986,5,1986-05-06
1986-06-16,10.9087,1986,6,1986-06-16
1986-07-25,11.2335,1986,7,1986-07-25
1986-09-04,12.9728,1986,9,1986-09-04
1986-10-15,13.5676,1986,10,1986-10-15
1986-11-25,12.3378,1986,11,1986-11-25
1987-01-05,12.8265,1987,1,1987-01-05
1987-02-13,12.7751,1987,2,1987-02-13
1987-03-26,12.9921,1987,3,1987-03-26
1987-05-06,14.6688,1987,5,1987-05-06
1987-06-16,14.5563,1987,6,1987-06-16
1987-07-27,14.5691,1987,7,1987-07-27
1987-09-04,14.9083,1987,9,1987-09-04
1987-10-15,15.0015,1987,10,1987-10-15
1987-11-25,15.3198,1987,11,1987-11-25
1988-01-05,15.2877,1988,1,1988-01-05
1988-02-15,14.3232,1988,2,1988-02-15
1988-03-25,14.5257,1988,3,1988-03-25
1988-05-05,14.3023,1988,5,1988-05-05
1988-06-15,14.5321,1988,6,1988-06-15
1988-07-26,13.8634,1988,7,1988-07-26
1988-09-05,13.7846,1988,9,1988-09-05
1988-10-14,13.1046,1988,10,1988-10-14
1988-11-24,13.5017,1988,11,1988-11-24
1989-01-04,13.1609,1989,1,1989-01-04
1989-02-14,12.3491,1989,2,1989-02-14
1989-03-27,12.6963,1989,3,1989-03-27
1989-05-05,12.079,1989,5,1989-05-05
1989-06-15,11.6225,1989,6,1989-06-15
1989-07-26,11.9697,1989,7,1989-07-26
1989-09-05,11.5276,1989,9,1989-09-05
1989-10-16,11.8443,1989,10,1989-10-16
1989-11-24,13.3683,1989,11,1989-11-24
1990-01-04,12.7478,1990,1,1990-01-04
1990-02-14,13.3297,1990,2,1990-02-14
1990-03-27,11.8315,1990,3,1990-03-27
1990-05-07,11.9376,1990,5,1990-05-07
1990-06-15,11.1531,1990,6,1990-06-15
1990-07-26,11.8556,1990,7,1990-07-26
1990-09-05,12.3234,1990,9,1990-09-05
1990-10-16,11.727,1990,10,1990-10-16
1990-11-26,12.4391,1990,11,1990-11-26
1991-01-04,12.4552,1991,1,1991-01-04
1991-02-14,11.8363,1991,2,1991-02-14
1991-03-27,11.383,1991,3,1991-03-27
1991-05-07,11.4505,1991,5,1991-05-07
1991-06-17,11.7929,1991,6,1991-06-17
1991-07-26,11.7061,1991,7,1991-07-26
1991-09-05,11.1692,1991,9,1991-09-05
1991-10-16,11.4633,1991,10,1991-10-16
1991-11-26,11.7752,1991,11,1991-11-26
1992-01-06,11.2335,1992,1,1992-01-06
1992-02-14,11.3846,1992,2,1992-02-14
1992-03-26,10.9441,1992,3,1992-03-26
1992-05-06,10.8252,1992,5,1992-05-06
1992-06-16,11.0068,1992,6,1992-06-16
1992-07-27,11.5228,1992,7,1992-07-27
1992-09-04,10.9972,1992,9,1992-09-04
1992-10-15,10.9907,1992,10,1992-10-15
1992-11-25,10.7496,1992,11,1992-11-25
1993-01-05,10.5647,1993,1,1993-01-05
1993-02-15,10.5647,1993,2,1993-02-15
1993-03-26,10.6966,1993,3,1993-03-26
1993-05-06,11.4296,1993,5,1993-05-06
1993-06-16,11.8315,1993,6,1993-06-16
1993-07-27,12.6143,1993,7,1993-07-27
1993-09-06,11.7109,1993,9,1993-09-06
1993-10-15,11.7222,1993,10,1993-10-15
1993-11-25,12.1401,1993,11,1993-11-25
1994-01-05,12.7076,1994,1,1994-01-05
1994-02-15,12.378,1994,2,1994-02-15
1994-03-28,12.5147,1994,3,1994-03-28
1994-05-06,12.0051,1994,5,1994-05-06
1994-06-16,12.4375,1994,6,1994-06-16
1994-07-27,12.4922,1994,7,1994-07-27
1994-09-06,12.4616,1994,9,1994-09-06
1994-10-17,12.5066,1994,10,1994-10-17
1994-11-25,12.3732,1994,11,1994-11-25
1995-01-05,12.0662,1995,1,1995-01-05
1995-02-15,12.108,1995,2,1995-02-15
1995-03-28,12.2719,1995,3,1995-03-28
1995-05-08,12.5709,1995,5,1995-05-08
1995-06-16,12.5806,1995,6,1995-06-16
1995-07-27,12.4005,1995,7,1995-07-27
1995-09-06,12.2189,1995,9,1995-09-06
1995-10-17,12.3266,1995,10,1995-10-17
1995-11-27,12.3652,1995,11,1995-11-27
1996-01-05,12.7285,1996,1,1996-01-05
1996-02-15,13.0082,1996,2,1996-02-15
1996-03-27,12.8716,1996,3,1996-03-27
1996-05-07,12.6577,1996,5,1996-05-07
1996-06-17,12.378,1996,6,1996-06-17
1996-07-26,12.3845,1996,7,1996-07-26
1996-09-05,12.4102,1996,9,1996-09-05
1996-10-16,12.2655,1996,10,1996-10-16
1996-11-26,12.0083,1996,11,1996-11-26
1997-01-06,11.526,1997,1,1997-01-06
1997-02-14,11.0084,1997,2,1997-02-14
1997-03-27,11.1933,1997,3,1997-03-27
1997-05-07,10.9666,1997,5,1997-05-07
1997-06-17,11.0004,1997,6,1997-06-17
1997-07-28,10.4731,1997,7,1997-07-28
1997-09-05,10.3284,1997,9,1997-09-05
1997-10-16,10.5245,1997,10,1997-10-16
1997-11-26,9.54877,1997,11,1997-11-26
1998-01-06,9.09223,1998,1,1998-01-06
1998-02-16,9.58735,1998,2,1998-02-16
1998-03-27,9.70792,1998,3,1998-03-27
1998-05-07,9.58414,1998,5,1998-05-07
1998-06-17,9.35265,1998,6,1998-06-17
1998-07-28,9.34301,1998,7,1998-07-28
1998-09-07,9.26745,1998,9,1998-09-07
1998-10-16,9.57932,1998,10,1998-10-16
1998-11-26,9.52948,1998,11,1998-11-26
1999-01-06,9.24816,1999,1,1999-01-06
1999-02-16,9.17261,1999,2,1999-02-16
1999-03-29,9.00703,1999,3,1999-03-29
1999-05-07,9.07937,1999,5,1999-05-07
1999-06-17,8.29972,1999,6,1999-06-17
1999-07-28,8.16951,1999,7,1999-07-28
1999-09-07,8.21773,1999,9,1999-09-07
1999-10-18,10.023,1999,10,1999-10-18
1999-11-26,9.54395,1999,11,1999-11-26
2000-01-06,8.98292,2000,1,2000-01-06
2000-02-16,9.7256,2000,2,2000-02-16
2000-03-28,9.02311,2000,3,2000-03-28
2000-05-08,8.93469,2000,5,2000-05-08
2000-06-16,9.32693,2000,6,2000-06-16
2000-07-27,8.99739,2000,7,2000-07-27
2000-09-06,8.81413,2000,9,2000-09-06
2000-10-17,8.68874,2000,10,2000-10-17
2000-11-27,8.62122,2000,11,2000-11-27
2001-01-05,8.59711,2001,1,2001-01-05
2001-02-15,8.31258,2001,2,2001-02-15
2001-03-28,8.36402,2001,3,2001-03-28
2001-05-08,8.52638,2001,5,2001-05-08
2001-06-18,8.745,2001,6,2001-06-18
2001-07-27,8.55692,2001,7,2001-07-27
2001-09-06,8.74661,2001,9,2001-09-06
2001-10-17,9.05365,2001,10,2001-10-17
2001-11-27,8.7868,2001,11,2001-11-27
2002-01-07,8.9572,2002,1,2002-01-07
2002-02-15,9.6404,2002,2,2002-02-15
2002-03-28,9.69024,2002,3,2002-03-28
2002-05-08,9.98281,2002,5,2002-05-08
2002-06-18,10.2352,2002,6,2002-06-18
2002-07-29,9.74168,2002,7,2002-07-29
2002-09-06,10.2641,2002,9,2002-09-06
2002-10-17,9.99084,2002,10,2002-10-17
2002-11-27,10.2191,2002,11,2002-11-27
2003-01-07,11.2206,2003,1,2003-01-07
2003-02-17,11.1563,2003,2,2003-02-17
2003-03-28,10.6339,2003,3,2003-03-28
2003-05-08,11.1386,2003,5,2003-05-08
2003-06-18,11.5662,2003,6,2003-06-18
2003-07-29,11.6868,2003,7,2003-07-29
2003-09-08,12.0453,2003,9,2003-09-08
2003-10-17,11.9119,2003,10,2003-10-17
2003-11-27,12.714,2003,11,2003-11-27
2004-01-07,13.5596,2004,1,2004-01-07
2004-02-17,13.3265,2004,2,2004-02-17
2004-03-29,13.5435,2004,3,2004-03-29
2004-05-07,12.243,2004,5,2004-05-07
2004-06-17,12.4134,2004,6,2004-06-17
2004-07-28,12.452,2004,7,2004-07-28
2004-09-07,12.7992,2004,9,2004-09-07
2004-10-18,13.4744,2004,10,2004-10-18
2004-11-26,14.5,2004,11,2004-11-26
2005-01-06,13.6432,2005,1,2005-01-06
2005-02-16,13.603,2005,2,2005-02-16
2005-03-29,13.6994,2005,3,2005-03-29
2005-05-09,13.6801,2005,5,2005-05-09
2005-06-17,14.066,2005,6,2005-06-17
2005-07-28,13.7091,2005,7,2005-07-28
2005-09-07,14.3087,2005,9,2005-09-07
2005-10-18,15.1752,2005,10,2005-10-18
2005-11-28,15.9468,2005,11,2005-11-28
2006-01-06,17.2087,2006,1,2006-01-06
2006-02-16,17.3212,2006,2,2006-02-16
2006-03-29,18.1652,2006,3,2006-03-29
2006-05-09,22.2242,2006,5,2006-05-09
2006-06-19,18.3581,2006,6,2006-06-19
2006-07-28,20.4832,2006,7,2006-07-28
2006-09-07,19.9817,2006,9,2006-09-07
2006-10-18,19.0975,2006,10,2006-10-18
2006-11-28,20.48,2006,11,2006-11-28
2007-01-08,19.5959,2007,1,2007-01-08
2007-02-16,21.3835,2007,2,2007-02-16
2007-03-29,21.2516,2007,3,2007-03-29
2007-05-09,21.959,2007,5,2007-05-09
2007-06-19,21.1005,2007,6,2007-06-19
2007-07-30,21.2677,2007,7,2007-07-30
2007-09-07,22.5377,2007,9,2007-09-07
2007-10-18,24.568,2007,10,2007-10-18
2007-11-28,25.7769,2007,11,2007-11-28
2008-01-08,27.6255,2008,1,2008-01-08
2008-02-18,29.0402,2008,2,2008-02-18
2008-03-28,30.0368,2008,3,2008-03-28
2008-05-08,28.1962,2008,5,2008-05-08
2008-06-18,28.5338,2008,6,2008-06-18
2008-07-29,29.4742,2008,7,2008-07-29
2008-09-08,25.9778,2008,9,2008-09-08
2008-10-17,25.2223,2008,10,2008-10-17
2008-11-27,26.1707,2008,11,2008-11-27
2009-01-07,27.2799,2009,1,2009-01-07
2009-02-17,31.1219,2009,2,2009-02-17
2009-03-30,29.8359,2009,3,2009-03-30
2009-05-08,29.1607,2009,5,2009-05-08
2009-06-18,30.2378,2009,6,2009-06-18
2009-07-29,29.9323,2009,7,2009-07-29
2009-09-08,32.1749,2009,9,2009-09-08
2009-10-19,33.7744,2009,10,2009-10-19
