date,antam,world_gold,kurs,gold_world_idr,year,difference
2009-01-07,352542.4312961331,27.2799,"10,750.0",293258.925,2009,59283.5062961331
2009-02-17,435975.10517401766,31.1219,"11,900.0",370350.61,2009,65624.49517401768
2009-03-30,408272.9183954609,29.8359,"11,555.0",344753.8245,2009,63519.09389546089
2009-05-08,362589.3471228638,29.1607,"10,375.0",302542.2625,2009,60047.0846228638
2009-06-18,371574.55586669716,30.2378,"10,280.0",310844.584,2009,60729.97186669719
2009-07-29,357647.54814176774,29.9323,"9,955.0",297976.0465,2009,59671.50164176774
2009-09-08,383027.67437836615,32.1749,"9,990.0",321427.251,2009,61600.42337836616
2009-10-19,378755.05921489635,33.7744,"9,400.0",317479.36,2009,61275.69921489636
2009-11-27,417303.7235221357,37.5038,"9,415.0",353098.277,2009,64205.446522135695
2010-01-07,412000.0,36.3384,"9,240.0",335766.816,2010,76233.18400000001
2010-02-17,406000.0,35.9767,"9,270.0",333504.009,2010,72495.99099999998
2010-03-30,396000.0,35.5909,"9,105.0",324055.1445,2010,71944.8555
2010-05-10,423000.0,38.4684,"9,075.0",349100.73000000004,2010,73899.26999999996
2010-05-10,417000.0,38.4684,"9,075.0",349100.73000000004,2010,67899.26999999996
2010-06-18,431000.0,40.3813,"9,091.0",367106.3983,2010,63893.6017
2010-07-29,410000.0,37.3752,"8,977.5",335535.858,2010,74464.14199999999
2010-09-08,427000.0,40.3492,"9,000.0",363142.80000000005,2010,63857.19999999995
2010-10-19,459000.0,43.0499,"8,926.0",384263.4074,2010,74736.59259999997
2010-11-29,457000.0,43.6286,"9,015.5",393333.6433,2010,63666.356700000004
2011-01-07,461000.0,43.9501,"9,027.5",396759.52775,2011,64240.47224999999
2011-02-17,464000.0,44.3359,"8,887.5",394035.31125,2011,69964.68874999997
2011-03-30,467000.0,45.8309,"8,719.0",399599.6171,2011,67400.38290000003
2011-05-10,483000.0,48.6602,"8,557.5",416409.66150000005,2011,66590.33849999995
2011-06-20,493000.0,49.6408,"8,615.0",427655.49199999997,2011,65344.50800000003
2011-07-29,510000.0,52.3575,"8,500.0",445038.75,2011,64961.25
2011-09-08,577000.0,59.6396,"8,568.0",510992.0928,2011,66007.90720000002
2011-10-19,570000.0,53.1291,"8,800.0",467536.08,2011,102463.91999999998
2011-11-29,580000.0,55.2028,"9,155.0",505381.634,2011,74618.36599999998
2012-01-09,565000.0,51.9235,"9,150.0",475100.02499999997,2012,89899.97500000003
2012-02-17,572000.0,55.3957,"9,000.0",498561.3,2012,73438.70000000001
2012-03-29,576000.0,53.2899,"9,165.0",488401.93350000004,2012,87598.06649999996
2012-05-09,554000.0,50.8786,"9,230.0",469609.478,2012,84390.522
2012-06-19,567000.0,52.261,"9,405.0",491514.705,2012,75485.29499999998
2012-07-30,565000.0,52.1485,"9,455.0",493064.0675,2012,71935.9325
2012-09-07,584000.0,55.5565,"9,570.0",531675.705,2012,52324.29500000004
2012-10-18,604200.0,56.2317,"9,588.0",539149.5396,2012,65050.46039999998
2012-11-28,604200.0,54.9135,"9,600.0",527169.6,2012,77030.40000000002
2013-01-08,598200.0,53.2416,"9,670.0",514846.272,2013,83353.728
2013-02-18,588200.0,51.7868,"9,680.5",501322.1174,2013,86877.88260000001
2013-03-29,575566.3741514212,51.3849,"9,717.5",499332.76575,2013,76233.60840142122
2013-05-09,531318.1222162242,47.1169,"9,730.0",458447.43700000003,2013,72870.68521622417
2013-06-19,532000.0,44.1349,"9,907.5",437266.52175,2013,94733.47824999999
2013-07-30,523000.0,42.5724,"10,272.5",437324.979,2013,85675.02100000001
2013-09-09,581000.0,44.6895,"11,160.0",498734.82,2013,82265.18
2013-10-18,558000.0,42.3265,"11,322.5",479241.79625,2013,78758.20374999999
2013-11-28,545000.0,40.0438,"12,015.0",481126.257,2013,63873.74300000002
2014-01-08,551000.0,39.2561,"12,235.0",480298.38350000005,2014,70701.61649999995
2014-02-18,571000.0,42.4631,"11,835.0",502550.78849999997,2014,68449.21150000003
2014-03-31,545756.794603488,41.5307,"11,360.0",471788.75200000004,2014,73968.0426034879
2014-05-09,550000.0,41.5147,"11,530.0",478664.491,2014,71335.50900000002
2014-06-19,559000.0,41.5709,"11,934.0",496107.1206,2014,62892.879399999976
2014-07-30,556640.3357652216,41.6191,"11,577.5",481845.13025000005,2014,74795.20551522158
2014-09-09,548000.0,40.3733,"11,766.5",475052.43445,2014,72947.56555
2014-10-20,546000.0,40.0116,"12,032.5",481439.577,2014,64560.42300000001
2014-11-28,538000.0,38.0263,"12,204.0",464072.9652,2014,73927.03480000002
2015-01-08,558000.0,39.0792,"12,680.0",495524.256,2015,62475.744000000006
2015-02-18,564000.0,38.7738,"12,842.5",497952.52650000004,2015,66047.47349999996
2015-03-31,566000.0,38.1629,"13,075.0",498979.9175,2015,67020.08250000002
2015-05-11,571000.0,38.2353,"13,155.0",502985.3715,2015,68014.62849999999
2015-06-19,580000.0,38.6902,"13,331.5",515798.40129999997,2015,64201.59870000003
2015-07-30,567000.0,34.9639,"13,467.5",470876.32325,2015,96123.67674999998
2015-09-09,581000.0,35.6825,"14,261.5",508885.97374999995,2015,72114.02625000005
2015-10-20,583000.0,37.8655,"13,645.0",516674.74749999994,2015,66325.25250000006
2015-10-20,583000.0,37.8655,"13,645.0",516674.74749999994,2015,66325.25250000006
2015-11-30,566000.0,34.1409,"13,835.0",472339.35150000005,2015,93660.64849999995
